repositorio,estrelas,data_criacao,idade_anos,total_prs_aceitas,total_releases,ultima_atualizacao,dias_desde_atualizacao,linguagem_primaria,issues_fechadas,issues_total,razao_issues_fechadas
AlistGo/alist,50054,2020-12-23T17:40:29Z,5.65,974,149,2026-08-17T18:02:15Z,0,Go,3973,4495,0.8839
chenglou/pretext,49924,2026-03-07T21:06:28Z,0.45,7,0,2026-08-17T20:05:00Z,0,TypeScript,50,96,0.5208
tldraw/tldraw,49824,2021-05-09T11:48:37Z,5.27,5466,133,2026-08-17T21:58:52Z,0,TypeScript,2293,2666,0.8601
huginn/huginn,49809,2013-03-10T06:00:31Z,13.44,1179,1,2026-08-17T19:42:44Z,0,Ruby,1580,2193,0.7205
NARKOZ/hacker-scripts,49799,2015-11-21T19:05:09Z,10.74,63,0,2026-08-17T12:18:45Z,0,JavaScript,68,106,0.6415
diegosouzapw/OmniRoute,49796,2026-02-13T12:38:31Z,0.51,5406,278,2026-08-17T21:58:54Z,0,TypeScript,3212,3520,0.9125
jakevdp/PythonDataScienceHandbook,49626,2016-08-10T14:24:36Z,10.02,28,0,2026-08-17T17:36:22Z,0,Jupyter Notebook,84,210,0.4
Lordog/dive-into-llms,49533,2024-04-08T13:11:40Z,2.36,11,1,2026-08-17T21:30:57Z,0,Jupyter Notebook,17,26,0.6538
pandas-dev/pandas,49509,2010-08-24T01:37:33Z,15.98,29396,122,2026-08-17T21:27:12Z,0,Python,25854,28478,0.9079
kelseyhightower/kubernetes-the-hard-way,49490,2016-07-07T14:15:27Z,10.11,73,0,2026-08-17T19:41:57Z,0,N/A,416,440,0.9455
roboflow/supervision,49478,2022-11-28T14:08:44Z,3.72,1377,40,2026-08-17T18:15:41Z,0,Python,503,543,0.9263
hashicorp/terraform,49470,2014-03-13T22:25:48Z,12.43,13637,435,2026-08-17T21:41:05Z,0,Go,19988,21746,0.9192
ChromeDevTools/chrome-devtools-mcp,49309,2025-09-11T10:39:55Z,0.93,1135,58,2026-08-17T21:42:13Z,0,TypeScript,429,505,0.8495
ClickHouse/ClickHouse,49296,2016-06-02T08:28:18Z,10.21,68980,824,2026-08-17T21:59:12Z,0,C++,25364,30354,0.8356
astral-sh/ruff,49233,2022-08-09T17:17:44Z,4.02,15973,423,2026-08-17T20:05:59Z,0,Rust,6552,8240,0.7951
Homebrew/brew,49186,2016-03-06T05:08:38Z,10.45,15221,509,2026-08-17T19:00:01Z,0,Ruby,5271,5271,1.0
x64dbg/x64dbg,49180,2015-04-11T20:48:23Z,11.35,825,6,2026-08-17T20:43:24Z,0,C++,2150,2720,0.7904
